tasa_cetes28,fecha
8.93,2004-12-01
8.97,2005-01-01
9.47,2005-02-01
9.78,2005-03-01
10.01,2005-04-01
10.12,2005-05-01
10.01,2005-06-01
10.01,2005-07-01
9.98,2005-08-01
9.65,2005-09-01
9.41,2005-10-01
9.17,2005-11-01
8.72,2005-12-01
8.41,2006-01-01
7.97,2006-02-01
7.68,2006-03-01
7.51,2006-04-01
7.32,2006-05-01
7.33,2006-06-01
7.31,2006-07-01
7.3,2006-08-01
7.31,2006-09-01
7.31,2006-10-01
7.3,2006-11-01
7.34,2006-12-01
7.41,2007-01-01
7.46,2007-02-01
7.46,2007-03-01
7.47,2007-04-01
7.7,2007-05-01
7.7,2007-06-01
7.7,2007-07-01
7.71,2007-08-01
7.7,2007-09-01
7.73,2007-10-01
7.93,2007-11-01
7.93,2007-12-01
7.93,2008-01-01
7.93,2008-02-01
7.93,2008-03-01
7.94,2008-04-01
7.93,2008-05-01
8.0,2008-06-01
8.28,2008-07-01
8.56,2008-08-01
8.66,2008-09-01
8.68,2008-10-01
8.73,2008-11-01
8.74,2008-12-01
8.41,2009-01-01
7.94,2009-02-01
7.64,2009-03-01
6.68,2009-04-01
5.78,2009-05-01
5.26,2009-06-01
4.92,2009-07-01
4.89,2009-08-01
4.91,2009-09-01
4.93,2009-10-01
4.93,2009-11-01
4.93,2009-12-01
4.91,2010-01-01
4.92,2010-02-01
4.92,2010-03-01
4.94,2010-04-01
4.94,2010-05-01
4.94,2010-06-01
4.92,2010-07-01
4.9,2010-08-01
4.9,2010-09-01
4.87,2010-10-01
4.87,2010-11-01
4.89,2010-12-01
4.86,2011-01-01
4.84,2011-02-01
4.84,2011-03-01
4.85,2011-04-01
4.85,2011-05-01
4.85,2011-06-01
4.82,2011-07-01
4.81,2011-08-01
4.78,2011-09-01
4.79,2011-10-01
4.8,2011-11-01
4.8,2011-12-01
4.79,2012-01-01
4.78,2012-02-01
4.77,2012-03-01
4.74,2012-04-01
4.76,2012-05-01
4.76,2012-06-01
4.78,2012-07-01
4.79,2012-08-01
4.8,2012-09-01
4.82,2012-10-01
4.84,2012-11-01
4.84,2012-12-01
4.84,2013-01-01
4.82,2013-02-01
4.48,2013-03-01
4.33,2013-04-01
4.32,2013-05-01
4.3,2013-06-01
4.32,2013-07-01
4.31,2013-08-01
4.1,2013-09-01
3.98,2013-10-01
3.79,2013-11-01
3.79,2013-12-01
3.78,2014-01-01
3.79,2014-02-01
3.8,2014-03-01
3.81,2014-04-01
3.8,2014-05-01
3.43,2014-06-01
3.3,2014-07-01
3.3,2014-08-01
3.29,2014-09-01
3.29,2014-10-01
3.29,2014-11-01
3.3,2014-12-01
3.3,2015-01-01
3.3,2015-02-01
3.3,2015-03-01
3.3,2015-04-01
3.3,2015-05-01
3.3,2015-06-01
3.3,2015-07-01
3.32,2015-08-01
3.33,2015-09-01
3.31,2015-10-01
3.32,2015-11-01
3.42,2015-12-01
3.56,2016-01-01
3.75,2016-02-01
4.06,2016-03-01
4.06,2016-04-01
4.08,2016-05-01
4.1,2016-06-01
4.56,2016-07-01
4.59,2016-08-01
4.61,2016-09-01
5.11,2016-10-01
5.34,2016-11-01
5.84,2016-12-01
6.13,2017-01-01
6.44,2017-02-01
6.63,2017-03-01
6.87,2017-04-01
6.98,2017-05-01
7.21,2017-06-01
7.37,2017-07-01
7.38,2017-08-01
7.38,2017-09-01
7.38,2017-10-01
7.38,2017-11-01
7.51,2017-12-01
7.64,2018-01-01
7.78,2018-02-01
7.83,2018-03-01
7.84,2018-04-01
7.85,2018-05-01
7.93,2018-06-01
8.1,2018-07-01
8.11,2018-08-01
8.11,2018-09-01
8.12,2018-10-01
8.25,2018-11-01
8.41,2018-12-01
8.59,2019-01-01
8.56,2019-02-01
8.52,2019-03-01
8.5,2019-04-01
8.51,2019-05-01
8.51,2019-06-01
8.48,2019-07-01
8.37,2019-08-01
8.2,2019-09-01
8.0,2019-10-01
7.87,2019-11-01
7.7,2019-12-01
7.53,2020-01-01
7.39,2020-02-01
7.1,2020-03-01
6.54,2020-04-01
6.0,2020-05-01
5.65,2020-06-01
5.23,2020-07-01
4.97,2020-08-01
4.72,2020-09-01
4.53,2020-10-01
4.5,2020-11-01
4.49,2020-12-01
4.47,2021-01-01
4.36,2021-02-01
4.28,2021-03-01
4.28,2021-04-01
4.29,2021-05-01
4.32,2021-06-01
4.52,2021-07-01
4.65,2021-08-01
4.75,2021-09-01
4.98,2021-10-01
5.13,2021-11-01
5.44,2021-12-01
5.72,2022-01-01
6.02,2022-02-01
6.33,2022-03-01
6.73,2022-04-01
7.01,2022-05-01
7.42,2022-06-01
8.04,2022-07-01
8.5,2022-08-01
8.89,2022-09-01
9.56,2022-10-01
10.0,2022-11-01
10.53,2022-12-01
10.78,2023-01-01
11.1,2023-02-01
11.34,2023-03-01
11.53,2023-04-01
11.54,2023-05-01
11.5,2023-06-01
11.5,2023-07-01
11.5,2023-08-01
11.5,2023-09-01
11.5,2023-10-01
11.51,2023-11-01
11.5,2023-12-01
11.5,2024-01-01
11.5,2024-02-01
11.44,2024-03-01
11.25,2024-04-01
11.24,2024-05-01
11.24,2024-06-01
11.25,2024-07-01
11.08,2024-08-01
10.95,2024-09-01
10.74,2024-10-01
10.61,2024-11-01
