tipo_cambio,fecha
11.2041,2004-12-01
11.2607,2005-01-01
11.1367,2005-02-01
11.1427,2005-03-01
11.1163,2005-04-01
10.9733,2005-05-01
10.8228,2005-06-01
10.6781,2005-07-01
10.6882,2005-08-01
10.7775,2005-09-01
10.8324,2005-10-01
10.6685,2005-11-01
10.6295,2005-12-01
10.547,2006-01-01
10.4833,2006-02-01
10.7468,2006-03-01
11.0421,2006-04-01
11.0923,2006-05-01
11.3913,2006-06-01
10.9858,2006-07-01
10.872,2006-08-01
10.9853,2006-09-01
10.8971,2006-10-01
10.9177,2006-11-01
10.8479,2006-12-01
10.9529,2007-01-01
10.9998,2007-02-01
11.1139,2007-03-01
10.9806,2007-04-01
10.8167,2007-05-01
10.835,2007-06-01
10.8109,2007-07-01
11.0456,2007-08-01
11.0315,2007-09-01
10.8231,2007-10-01
10.8866,2007-11-01
10.8484,2007-12-01
10.91,2008-01-01
10.7665,2008-02-01
10.7313,2008-03-01
10.5154,2008-04-01
10.4352,2008-05-01
10.3292,2008-06-01
10.2155,2008-07-01
10.1095,2008-08-01
10.6437,2008-09-01
12.6314,2008-10-01
13.114,2008-11-01
13.4226,2008-12-01
13.8921,2009-01-01
14.5966,2009-02-01
14.6695,2009-03-01
13.4367,2009-04-01
13.1621,2009-05-01
13.3418,2009-06-01
13.3654,2009-07-01
13.008,2009-08-01
13.4212,2009-09-01
13.2257,2009-10-01
13.1094,2009-11-01
12.8631,2009-12-01
12.8019,2010-01-01
12.9424,2010-02-01
12.5737,2010-03-01
12.2302,2010-04-01
12.7428,2010-05-01
12.7193,2010-06-01
12.8189,2010-07-01
12.7695,2010-08-01
12.7997,2010-09-01
12.4374,2010-10-01
12.3391,2010-11-01
12.3885,2010-12-01
12.1258,2011-01-01
12.0703,2011-02-01
11.9992,2011-03-01
11.7184,2011-04-01
11.6533,2011-05-01
11.806,2011-06-01
11.6726,2011-07-01
12.2319,2011-08-01
13.0445,2011-09-01
13.435,2011-10-01
13.6993,2011-11-01
13.7689,2011-12-01
13.4178,2012-01-01
12.7831,2012-02-01
12.7567,2012-03-01
13.0697,2012-04-01
13.6634,2012-05-01
13.9192,2012-06-01
13.3661,2012-07-01
13.1845,2012-08-01
12.9394,2012-09-01
12.891,2012-10-01
13.0746,2012-11-01
12.8705,2012-12-01
12.699,2013-01-01
12.7229,2013-02-01
12.5247,2013-03-01
12.205,2013-04-01
12.3115,2013-05-01
12.9596,2013-06-01
12.7659,2013-07-01
12.9178,2013-08-01
13.0759,2013-09-01
12.9992,2013-10-01
13.0796,2013-11-01
13.0076,2013-12-01
13.223,2014-01-01
13.2808,2014-02-01
13.1951,2014-03-01
13.0708,2014-04-01
12.9247,2014-05-01
12.9958,2014-06-01
12.9904,2014-07-01
13.1406,2014-08-01
13.2352,2014-09-01
